"SaID","AccID","Longitude","Latitude","ASV37_bacteria_rhizosphere_CK_pred","ASV37_bacteria_rhizosphere_LN_pred","ASV37_bacteria_rhizosphere_LP_pred","ASV37_bacteria_root_CK_pred","ASV37_bacteria_root_LN_pred","ASV37_bacteria_root_LP_pred","ASV7_bacteria_rhizosphere_CK_pred","ASV7_bacteria_rhizosphere_LN_pred","ASV7_bacteria_root_D_pred","ASV7_bacteria_root_LN_pred"
"SEEDGWAS3831","CIMMYTMA-002316",-99.1,24.08333333,283.6398943,384.0775752,263.3149762,70.84438513,79.16537612,82.22240046,459.5742254,812.9380784,558.1094034,824.676767
"SEEDGWAS2177","CIMMYTMA-017930",-99.1,24.08333333,283.7140921,384.0775754,263.3149532,70.84438513,81.01492633,82.22240046,459.3982549,812.9380784,557.1127509,830.1944546
"SEEDGWAS3997","CIMMYTMA-017931",-99.1,24.08333333,283.7140921,384.0775754,263.3149532,70.84438513,81.01492633,82.22240046,459.3982549,812.9380784,557.1127509,830.1944546
"SEEDGWAS3966","CIMMYTMA-010513",-97.998902,22.43833,264.1970074,384.0775919,263.3149841,72.30039031,67.13627117,82.40092968,480.7373802,805.4344267,542.4577311,867.856354
"SEEDGWAS4019","CIMMYTMA-023680",-99.13333333,24.08333333,283.7140921,384.0775754,263.3149532,70.84438513,81.01492633,82.22240046,459.3982549,812.9380784,557.1127509,830.1944546
"SEEDGWAS3259","CIMMYTMA-014020",-99.31666667,22.83333333,271.0629118,384.0775409,263.3149651,70.81840136,77.78507954,83.67875367,467.7722462,787.8250317,544.9823142,854.7038809
"SEEDGWAS1643","CIMMYTMA-017932",-99.481609,24.25333,279.2389737,384.0775362,263.3149615,71.51423427,78.92502181,82.18638679,494.9813807,800.4798039,564.5784928,798.8287229
"SEEDGWAS754","CIMMYTMA-002317",-99.206515,24.031255,283.2302751,384.077576,263.3149544,70.81840136,79.23331742,82.25104574,471.1615164,812.7785014,558.0886547,825.6422647
"SEEDGWAS687","CIMMYTMA-000415",-99.205617,24.041477,283.2302751,384.077576,263.3149691,70.81840136,79.31081019,82.25104574,471.1615164,812.9942274,558.0886547,825.0901907
"SEEDGWAS1644","CIMMYTMA-017934",-99.48333333,24.26666667,279.328929,384.0775377,263.3149614,71.48433232,78.86546706,82.23044913,494.9813807,800.4798039,563.3373012,798.8287229
"SEEDGWAS1183","CIMMYTMA-000417",-99.205617,24.041477,283.2302751,384.077576,263.3149691,70.81840136,79.31081019,82.25104574,471.1615164,812.9942274,558.0886547,825.0901907
"SEEDGWAS773","CIMMYTMA-002542",-99.65,24.55,284.3216088,384.0775421,263.3149502,75.45150009,82.35371355,82.37932011,456.3364056,797.5428387,548.1287938,819.4394319
"SEEDGWAS746","CIMMYTMA-001749",-99.613536,24.580162,286.0580666,384.0775414,263.3149462,75.62944769,80.66149751,82.21439825,454.7598362,798.051032,549.1366623,808.7620165
"SEEDGWAS3832","CIMMYTMA-002544",-99.460659,24.408973,284.2034016,384.0776299,263.3149536,71.3328311,78.53824839,82.10585437,475.8602403,808.1496094,556.6904349,802.0758875
"SEEDGWAS1293","CIMMYTMA-002545",-99.223726,24.015674,283.0705202,384.077575,263.3149518,70.81840136,79.23318516,82.25104574,466.478083,812.5505949,559.0853071,826.1159311
