,SaID,AccID,Longitude,Latitude,Ann.Prc,TN,PBR,,,,,,,,,,,,,,,,,,,,,,
101,SEEDGWAS1189,CIMMYTMA-000705,-96.91666667,18.9,1032,0.59,6.9,,,,,,,,,,,,,,,,,,,,,,
102,SEEDGWAS119,CIMMYTMA-002156,-92.81666667,16.5666667,995,0.43,9.59,,,,,,,,,,,,,,,,,,,,,,
103,SEEDGWAS1191,CIMMYTMA-000751,-93,16.71666667,869,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
104,SEEDGWAS1192,CIMMYTMA-000762,-92.659404,15.332888,2309,0.5,8.98,,,,,,,,,,,,,,,,,,,,,,
105,SEEDGWAS1195,CIMMYTMA-000815,-88.51666667,20.85,1209,0.66,5.68,,,,,,,,,,,,,,,,,,,,,,
106,SEEDGWAS1196,CIMMYTMA-000828,-88.28333333,21.01666667,530,0.66,5.68,,,,,,,,,,,,,,,,,,,,,,
107,SEEDGWAS1197,CIMMYTMA-000875,-88.003548,15.281744,1553,0.2,7.62,,,,,,,,,,,,,,,,,,,,,,
108,SEEDGWAS1198,CIMMYTMA-000880,-87.891039,15.590506,1921,0.17,7.31,,,,,,,,,,,,,,,,,,,,,,
109,SEEDGWAS1199,CIMMYTMA-000881,-88.19682,15.361949,1475,0.28,7.62,,,,,,,,,,,,,,,,,,,,,,
110,SEEDGWAS12,CIMMYTMA-000467,-96.85,20.2,842,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
111,SEEDGWAS120,CIMMYTMA-002164,-92.0992225,15.984309,1079,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
112,SEEDGWAS1200,CIMMYTMA-000882,-87.02708,14.638033,865,0.08,5.1,,,,,,,,,,,,,,,,,,,,,,
113,SEEDGWAS1205,CIMMYTMA-001065,-89.880527,14.902827,1052,0.13,4.83,,,,,,,,,,,,,,,,,,,,,,
114,SEEDGWAS1206,CIMMYTMA-001069,-89.55933,14.9483,1097,0.13,5.16,,,,,,,,,,,,,,,,,,,,,,
